Province,Year,Child Dependency Ratio (%),Elderly Dependency Ratio (%)
Beijing,2002,14.69789227,13.85480094
Beijing,2003,13.49927326,14.31686047
Beijing,2004,12.61478114,14.09467772
Beijing,2005,13.03070296,13.7042755
Beijing,2006,12.66092515,14.25019977
Beijing,2007,12.00617019,12.71745651
Beijing,2008,12.13297334,12.85858927
Beijing,2009,12.39751553,12.62111801
Beijing,2010,10.41923551,10.54254007
Beijing,2011,10.62183455,10.69921216
Beijing,2012,11.43119396,10.48506672
Beijing,2013,12.17574692,10.53075571
Beijing,2014,12.49826798,10.51683525
Beijing,2015,12.77936295,13.4488942
Beijing,2016,14.06172048,15.17354429
Beijing,2017,14.24484706,16.32069244
Beijing,2018,13.3728495,14.37762036
Beijing,2019,13.34101382,14.66205837
Beijing,2020,15.81196847,17.76780881
Beijing,2021,16.43635086,19.32310575
Beijing,2022,16.5684469,20.76120319
Tianjin,2002,19.48662814,14.37978766
Tianjin,2003,18.58785772,14.54934474
Tianjin,2004,17.23035952,14.18109188
Tianjin,2005,16.31419376,12.47912682
Tianjin,2006,15.61333333,13.64
Tianjin,2007,14.58630991,13.94986362
Tianjin,2008,13.96274888,15.95375723
Tianjin,2009,12.75565775,13.99007624
Tianjin,2010,12.01513718,10.40681173
Tianjin,2011,13.38326278,12.27613155
Tianjin,2012,15.07356948,13.4386921
Tianjin,2013,14.458985,14.81008618
Tianjin,2014,13.90748944,15.06129597
Tianjin,2015,12.73283773,12.93653794
Tianjin,2016,14.01104319,14.61250246
Tianjin,2017,14.58607096,14.5759628
Tianjin,2018,13.03183576,13.85500347
Tianjin,2019,13.2360771,15.55744862
Tianjin,2020,18.7701669,20.55504774
Tianjin,2021,18.73543124,22.48445998
Tianjin,2022,18.50450082,24.28396072
Hebei,2002,29.7398398,10.72341864
Hebei,2003,26.20590648,10.31788351
Hebei,2004,23.40369393,10.71037142
Hebei,2005,23.83527869,11.02181998
Hebei,2006,22.19263112,11.33432592
Hebei,2007,22.52355245,11.91065947
Hebei,2008,21.35678392,11.62113086
Hebei,2009,22.11507415,11.86473513
Hebei,2010,22.45542348,10.99554235
Hebei,2011,23.71618973,11.00439915
Hebei,2012,24.5954109,12.46224586
Hebei,2013,24.37214354,12.55034164
Hebei,2014,25.84325962,12.94098891
Hebei,2015,25.46200214,14.21053204
Hebei,2016,26.13659439,15.44414612
Hebei,2017,25.5732893,16.79966979
Hebei,2018,26.84689759,18.43142777
